Rank,School,State,Record,Rating,Strength
1,Naperville North,IL,32-4-0,37.50,18.7
2,Westminster Academy,FL,24-2-0,34.81,12.5
3,New Trier,IL,32-3-0,32.88,17.4
4,Mater Lakes Academy,FL,24-3-0,30.45,16.1
5,York,IL,26-7-0,29.14,17.9
6,St. Thomas Aquinas,FL,20-7-0,26.39,15.6
7,Stevenson,IL,21-10-0,25.10,16.4
8,Belen Jesuit,FL,18-7-0,23.79,15.2
9,Seminole,FL,20-9-0,23.76,13.9
10,Ransom Everglades,FL,16-9-0,23.44,19.0
11,St. Louis University,MO,10-3-0,22.58,14.0
12,Brother Rice,IL,28-2-0,22.46,6.6
13,Whitney Young,IL,25-6-0,21.93,8.5
14,Gulliver Prep,FL,15-10-0,21.81,17.9
15,Miami Country Day,FL,14-12-0,20.67,16.1
16,Lyons,IL,16-12-0,19.76,17.2
17,Palatine,IL,26-8-0,19.68,9.9
18,Dr. Phillips,FL,22-7-0,19.24,8.8
19,Lincoln-Way East,IL,23-10-0,19.17,12.0
20,Columbus,FL,17-7-0,18.56,13.1
21,Naperville Central,IL,20-8-0,18.53,12.1
22,West Orange,FL,19-5-0,18.36,7.1
23,Oviedo,FL,21-7-0,16.94,6.4
24,Evanston,IL,22-10-1,16.77,10.8
25,Winter Park,FL,17-10-0,16.03,8.4
